#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-10-12
# Final Processing Time: 12:11:39
# Spline RMSE gcc_mean: 0.00294
# Spline RMSE gcc_50: 0.00295
# Spline RMSE gcc_75: 0.00308
# Spline RMSE gcc_90: 0.00345
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,falling,gcc_75,2020-10-22,2020-10-19,2020-10-14,2020-10-24,2020-10-20,2020-10-16,2020-10-20,2020-10-18,2020-10-13,0.31437,0.32733,0.35345,0.30591,0.39811
harvardbarn,DB,1000,falling,gcc_75,2019-10-22,2019-10-19,2019-10-13,2019-10-23,2019-10-20,2019-10-15,2019-10-20,2019-10-18,2019-10-12,0.31183,0.32422,0.34835,0.30502,0.3849
harvardbarn,DB,1000,falling,gcc_75,2018-10-30,2018-10-28,2018-10-20,2018-10-31,2018-10-29,2018-10-23,2018-10-29,2018-10-26,2018-10-16,0.3138,0.32318,0.34769,0.30609,0.38758
harvardbarn,DB,1000,falling,gcc_75,2017-11-06,2017-11-02,2017-10-27,2017-11-07,2017-11-03,2017-10-29,2017-11-04,2017-11-01,2017-10-26,0.30349,0.31951,0.34288,0.29891,0.38537
harvardbarn,DB,1000,falling,gcc_75,2016-11-03,2016-11-01,2016-10-25,2016-11-04,2016-11-02,2016-10-27,2016-11-01,2016-10-30,2016-10-24,0.30033,0.31187,0.33929,0.29385,0.38022
harvardbarn,DB,1000,falling,gcc_75,2015-10-28,2015-10-26,2015-10-19,2015-10-29,2015-10-27,2015-10-21,2015-10-26,2015-10-24,2015-10-17,0.30363,0.31472,0.34232,0.29777,0.38491
harvardbarn,DB,1000,falling,gcc_75,2014-10-25,2014-10-23,2014-10-17,2014-10-26,2014-10-24,2014-10-19,2014-10-24,2014-10-21,2014-10-16,0.30564,0.31551,0.34197,0.29776,0.38305
harvardbarn,DB,1000,falling,gcc_75,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-15,2013-10-21,2013-10-17,2013-10-11,0.29909,0.3111,0.33448,0.29144,0.3737
harvardbarn,DB,1000,falling,gcc_75,2012-10-20,2012-10-18,2012-10-13,2012-10-21,2012-10-19,2012-10-15,2012-10-19,2012-10-17,2012-10-12,0.29707,0.30899,0.33384,0.28857,0.37388
harvardbarn,DB,1000,falling,gcc_50,2021-11-03,2021-10-31,2021-10-24,2021-11-04,2021-11-01,2021-10-26,2021-11-01,2021-10-29,2021-10-23,0.31058,0.32469,0.35273,0.30347,0.3982
