#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-10-25
# Final Processing Time: 13:29:02
# Spline RMSE gcc_mean: 0.00385
# Spline RMSE gcc_50: 0.00374
# Spline RMSE gcc_75: 0.00405
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,falling,gcc_90,2009-10-22,2009-10-19,2009-10-11,2009-10-23,2009-10-20,2009-10-13,2009-10-20,2009-10-16,2009-10-09,0.37614,0.38827,0.41463,0.37008,0.45809
harvard,DB,1000,falling,gcc_90,2008-10-22,2008-10-19,2008-10-13,2008-10-24,2008-10-20,2008-10-15,2008-10-20,2008-10-17,2008-10-12,0.3758,0.38776,0.41046,0.3684,0.45078
harvard,DB,1000,falling,gcc_75,2022-10-22,2022-10-19,2022-10-13,2022-10-29,2022-10-20,2022-10-15,2022-10-20,2022-10-18,2022-10-12,0.37741,0.39003,0.41204,0.37056,0.45033
harvard,DB,1000,falling,gcc_75,2021-11-04,2021-10-31,2021-10-24,2021-11-05,2021-11-02,2021-10-26,2021-11-02,2021-10-29,2021-10-23,0.39044,0.40258,0.42288,0.38386,0.45925
harvard,DB,1000,falling,gcc_75,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.38555,0.39678,0.41938,0.38072,0.45461
harvard,DB,1000,falling,gcc_75,2019-10-22,2019-10-19,2019-10-13,2019-10-23,2019-10-20,2019-10-15,2019-10-20,2019-10-17,2019-10-12,0.38264,0.39199,0.41683,0.37455,0.45882
harvard,DB,1000,falling,gcc_75,2018-11-05,2018-11-01,2018-10-22,2018-11-07,2018-11-02,2018-10-25,2018-11-03,2018-10-30,2018-10-20,0.38827,0.39897,0.42046,0.38057,0.45932
harvard,DB,1000,falling,gcc_75,2017-11-03,2017-10-30,2017-10-22,2017-11-04,2017-10-31,2017-10-25,2017-11-01,2017-10-28,2017-10-21,0.3868,0.39744,0.42125,0.37978,0.45974
harvard,DB,1000,falling,gcc_75,2016-10-28,2016-10-25,2016-10-16,2016-10-29,2016-10-26,2016-10-18,2016-10-26,2016-10-23,2016-10-15,0.38216,0.39264,0.41886,0.37403,0.46144
harvard,DB,1000,falling,gcc_75,2015-10-27,2015-10-23,2015-10-17,2015-10-28,2015-10-24,2015-10-19,2015-10-24,2015-10-22,2015-10-16,0.38091,0.39475,0.41726,0.37523,0.45615
harvard,DB,1000,falling,gcc_75,2014-10-21,2014-10-18,2014-10-11,2014-10-22,2014-10-19,2014-10-13,2014-10-19,2014-10-16,2014-10-10,0.38301,0.39414,0.41922,0.37613,0.46011
harvard,DB,1000,falling,gcc_75,2013-10-18,2013-10-14,2013-10-04,2013-10-20,2013-10-15,2013-10-07,2013-10-16,2013-10-12,2013-10-02,0.38364,0.39432,0.41739,0.37598,0.45718
harvard,DB,1000,falling,gcc_75,2012-10-20,2012-10-15,2012-10-06,2012-10-22,2012-10-16,2012-10-08,2012-10-17,2012-10-13,2012-10-05,0.37766,0.38847,0.41376,0.3708,0.45275
harvard,DB,1000,falling,gcc_75,2011-10-28,2011-10-22,2011-10-10,2011-10-29,2011-10-24,2011-10-13,2011-10-25,2011-10-19,2011-10-08,0.38375,0.39613,0.41731,0.37812,0.45341
harvard,DB,1000,falling,gcc_75,2010-10-19,2010-10-15,2010-10-06,2010-10-20,2010-10-16,2010-10-08,2010-10-17,2010-10-13,2010-10-05,0.37262,0.38321,0.40757,0.36607,0.4472
harvard,DB,1000,falling,gcc_75,2009-10-22,2009-10-19,2009-10-11,2009-10-23,2009-10-20,2009-10-13,2009-10-20,2009-10-16,2009-10-09,0.37399,0.38552,0.41017,0.36822,0.45155
harvard,DB,1000,falling,gcc_75,2008-10-22,2008-10-19,2008-10-12,2008-10-23,2008-10-20,2008-10-14,2008-10-20,2008-10-17,2008-10-11,0.37187,0.38329,0.40796,0.36457,0.44592
harvard,DB,1000,falling,gcc_50,2021-11-04,2021-10-31,2021-10-24,2021-11-05,2021-11-01,2021-10-26,2021-11-02,2021-10-29,2021-10-23,0.38656,0.39825,0.41888,0.38036,0.45544
harvard,DB,1000,falling,gcc_50,2020-10-21,2020-10-19,2020-10-13,2020-10-22,2020-10-20,2020-10-14,2020-10-20,2020-10-17,2020-10-12,0.38294,0.39097,0.41368,0.3757,0.45089
harvard,DB,1000,falling,gcc_50,2019-10-22,2019-10-19,2019-10-12,2019-10-23,2019-10-20,2019-10-14,2019-10-20,2019-10-17,2019-10-11,0.3798,0.38888,0.41595,0.37187,0.45524
harvard,DB,1000,falling,gcc_50,2018-11-03,2018-10-31,2018-10-22,2018-11-04,2018-11-01,2018-10-24,2018-11-01,2018-10-28,2018-10-20,0.3817,0.392,0.41564,0.37472,0.45601
harvard,DB,1000,falling,gcc_50,2017-11-03,2017-10-30,2017-10-22,2017-11-04,2017-10-31,2017-10-25,2017-11-01,2017-10-28,2017-10-21,0.38346,0.39391,0.41739,0.37662,0.45508
harvard,DB,1000,falling,gcc_50,2016-10-27,2016-10-23,2016-10-15,2016-10-28,2016-10-24,2016-10-17,2016-10-25,2016-10-21,2016-10-13,0.38049,0.39373,0.41555,0.3729,0.45758
harvard,DB,1000,falling,gcc_50,2015-10-26,2015-10-23,2015-10-17,2015-10-28,2015-10-24,2015-10-18,2015-10-24,2015-10-21,2015-10-16,0.37521,0.38673,0.41035,0.36724,0.45224
harvard,DB,1000,falling,gcc_50,2014-10-21,2014-10-17,2014-10-10,2014-10-22,2014-10-18,2014-10-12,2014-10-19,2014-10-15,2014-10-08,0.37839,0.39146,0.41405,0.37209,0.45536
harvard,DB,1000,falling,gcc_50,2013-10-18,2013-10-14,2013-10-04,2013-10-20,2013-10-15,2013-10-06,2013-10-16,2013-10-12,2013-10-02,0.38067,0.39107,0.41378,0.37316,0.45322
harvard,DB,1000,falling,gcc_50,2012-10-18,2012-10-13,2012-10-05,2012-10-19,2012-10-14,2012-10-07,2012-10-15,2012-10-11,2012-10-03,0.37599,0.38807,0.40912,0.37005,0.44803
harvard,DB,1000,falling,gcc_50,2011-10-28,2011-10-22,2011-10-11,2011-10-29,2011-10-24,2011-10-14,2011-10-25,2011-10-20,2011-10-09,0.37985,0.39187,0.41079,0.37465,0.44569
harvard,DB,1000,falling,gcc_50,2010-10-19,2010-10-14,2010-10-05,2010-10-20,2010-10-15,2010-10-07,2010-10-17,2010-10-12,2010-10-03,0.36946,0.38277,0.40408,0.36288,0.44312
harvard,DB,1000,falling,gcc_50,2009-10-22,2009-10-18,2009-10-10,2009-10-23,2009-10-19,2009-10-13,2009-10-20,2009-10-16,2009-10-08,0.37007,0.38454,0.40674,0.36468,0.44579
harvard,DB,1000,falling,gcc_50,2008-10-22,2008-10-19,2008-10-13,2008-10-23,2008-10-20,2008-10-14,2008-10-20,2008-10-18,2008-10-12,0.36795,0.37944,0.40077,0.3607,0.44068
harvard,DB,1000,falling,gcc_mean,2021-11-04,2021-10-31,2021-10-24,2021-11-05,2021-11-02,2021-10-26,2021-11-02,2021-10-29,2021-10-23,0.38661,0.39849,0.41868,0.3802,0.45383
